url,date,rawContent,place,likeCount
https://twitter.com/bbking_jp/status/1657239325283860481,2023-05-13 04:20:19+00:00,"🗣They all trust me🗣
終盤の活躍でシリーズを第7戦へ引き延ばしたテイタム「みんなが僕を信頼してくれている」 
https://t.co/Oekgm3cMnZ
セルティックスが第6戦を敵地で制したことで、シクサーズとのイースト準決勝は、日本時間15日にTDガーデンで第7戦を迎えます。
#NBAPlayoffs 
#BleedGreen https://t.co/ees6iYw6Kq",,27
https://twitter.com/NbaLovver/status/1657072287030337541,2023-05-12 17:16:34+00:00,"Logo fui com o manto hoje pra escola 🙏🏻🍀

#BleedGreen https://t.co/vAqz6c4JPg",,24
https://twitter.com/RochieWBZ/status/1657245858029608961,2023-05-13 04:46:17+00:00,"Game 7 Celtics vs Sixers will be Sunday afternoon at 3:30pm @tdgarden 

The winner will host Miami in G1 of the Eastern Conference Finals Wednesday night

#BleedGreen @wbz #NBAPlayoffs","Massachusetts, USA",23
https://twitter.com/JeffGSpursZone/status/1657439119172149252,2023-05-13 17:34:14+00:00,"Bill Russell's rook card sells for a record $660,00 at auction! Sheesh !!!! #nba #porvida #BleedGreen #nbatwitter",,22
https://twitter.com/CHINO_2800/status/1657195217483706369,2023-05-13 01:25:03+00:00,@CelticsRiley ☘️ IFB #BleedGreen #NBATwitterLive,,21
https://twitter.com/HarborneHC/status/1657038615740907521,2023-05-12 15:02:46+00:00,ALL ABOARD THE FUN BUS! National League Division One North teams confirmed! #bleedgreen https://t.co/KkoEdVyKAC,,19
https://twitter.com/PATxNYC/status/1657461001309003782,2023-05-13 19:01:11+00:00,"#BleedGreen vs. #BrotherlyLove
Bankroll Builder Parlay:

Jaylen Brown o20+ points
Jaylen Brown o2+ threes
James Harden o6.5 assists
(+105 Odds on Draft Kings)

Going to take Saturday off so I’m sending you guys this parlay out early. Brown & Harden are the only two players I trust (stat-wise) in this game. Make sure to do your own research. Let’s keep this winning momentum going. Have a blessed day #GamblingTwitter‼️🤝🏽",,18
https://twitter.com/DanKelley66/status/1657055735400759298,2023-05-12 16:10:48+00:00,"Feels like maybe the Boston Celtics are not actually dipping their game plan to Shams or anybody else. 🤷‍♂️ ☘️
—
#BleedGreen",,18
https://twitter.com/V0NUM/status/1657132144924192768,2023-05-12 21:14:26+00:00,@celtics Best duo in the NBA #BleedGreen https://t.co/PeLPWi0mkX,,18
https://twitter.com/Struzz21/status/1657429540509982721,2023-05-13 16:56:10+00:00,So happy we don’t have to wait till 8:30 tomorrow night for the Celtics game #BleedGreen,,18
